Customer_ID,Age,Income,Credit_Score,Credit_Utilization,Missed_Payments,Delinquent_Account,Loan_Balance,Debt_to_Income_Ratio,Employment_Status,Account_Tenure,Credit_Card_Type,Location,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Income_Group,Credit_Score_Band,Utilization_Level,Debt_Burden,Age_Group,Loan_to_Income_Ratio,Missed_Payment_Rate,Financial_Stress_Index,Risk_Score,Risk_Category
CUST0001,56,165580.0,398.0,0.390501928600237,3,0,16310.0,0.31739611496857,EMP,18,Student,Los Angeles,Late,Late,Missed,Late,Missed,Late,High,Poor,Moderate,Moderate,Middle Age,0.0985022345693924,0.5,0.5074290563467472,1.0,Low
CUST0002,69,100999.0,493.0,0.312444033226017,6,1,17401.0,0.196092643360821,Self-employed,0,Standard,Phoenix,Missed,Missed,Late,Missed,On-time,On-time,Upper Middle,Poor,Moderate,Low,Senior,0.1722888345429162,1.0,0.5394068964194367,2.0,Medium
CUST0003,46,188416.0,500.0,0.359930238508409,0,0,13761.0,0.301654939890911,Self-employed,1,Platinum,Chicago,Missed,Late,Late,On-time,Missed,Late,High,Poor,Moderate,Moderate,Middle Age,0.0730351987092391,0.0,0.3244872036907391,0.0,Low
CUST0004,32,101672.0,413.0,0.371400355303824,3,0,88778.0,0.264794439228806,Unemployed,15,Platinum,Phoenix,Late,Missed,Late,Missed,Late,Late,Upper Middle,Poor,Moderate,Moderate,Adult,0.8731804233220553,0.5,0.4826850622695211,1.0,Low
CUST0005,60,38524.0,487.0,0.234715862628201,2,0,13316.0,0.510583482534848,Self-employed,11,Standard,Phoenix,Missed,On-time,Missed,Late,Late,Late,Low,Poor,Low,Severe,Middle Age,0.3456546568372962,0.3333333333333333,0.4346581696240955,2.0,Medium
CUST0006,25,84042.0,700.0,0.650540429714525,6,0,48361.0,0.260687881080009,Unemployed,7,Gold,New York,On-time,Late,Missed,Missed,Missed,Late,Middle,Good,High,Moderate,Young Adult,0.5754384712405702,1.0,0.5459888958804517,1.0,Low
CUST0007,38,35056.0,354.0,0.390580940522579,3,0,4638.0,0.484265137288334,employed,17,Platinum,New York,On-time,Missed,Missed,Late,Missed,Late,Low,Poor,Moderate,High,Adult,0.1323026015518028,0.5,0.5691660649072737,2.0,Medium
CUST0008,56,123215.0,415.0,0.532714667117731,5,0,55776.0,0.358695229118337,EMP,1,Student,New York,On-time,On-time,On-time,Late,Missed,Late,Upper Middle,Poor,High,High,Middle Age,0.45267215842227,0.8333333333333334,0.6289130801196231,2.0,Medium
CUST0009,36,66991.0,405.0,0.413034847617951,5,1,45776.0,0.219854102927027,Employed,12,Student,Phoenix,On-time,On-time,On-time,Missed,Late,On-time,Middle,Poor,Moderate,Moderate,Adult,0.6833156692690063,0.8333333333333334,0.5688282982423051,2.0,Medium
CUST0010,40,34870.0,679.0,0.361823917542758,4,0,93922.0,0.333081092525975,EMP,5,Business,Los Angeles,On-time,Missed,Missed,On-time,Missed,Missed,Low,Good,Moderate,Moderate,Adult,2.6934901061084027,0.6666666666666666,0.4181201919111227,1.0,Low
CUST0011,28,42532.0,340.0,0.83445584721737,4,0,82909.0,0.269559025366218,Unemployed,5,Student,Chicago,On-time,Late,Missed,Missed,On-time,Late,Low,Poor,Critical,Moderate,Young Adult,1.9493322674692,0.6666666666666666,0.6744885666307454,3.0,High
CUST0012,28,70479.0,679.0,0.684586436441881,3,0,75777.0,0.324215749074123,Unemployed,8,Business,Chicago,On-time,Missed,Missed,Late,On-time,Late,Middle,Good,High,Moderate,Young Adult,1.0751713276295067,0.5,0.4549278191062738,0.0,Low
CUST0013,41,56975.0,320.0,0.126359920008971,0,0,15171.0,0.228610901256673,EMP,15,Standard,Los Angeles,Late,Late,Missed,Late,On-time,On-time,Middle,Poor,Low,Moderate,Adult,0.2662746818780167,0.0,0.3296517962255019,1.0,Low
CUST0014,70,117023.0,528.0,0.105172510332822,5,0,95136.0,0.469017763334595,retired,10,Standard,Los Angeles,On-time,Missed,Missed,Missed,On-time,On-time,Upper Middle,Poor,Low,High,Senior,0.8129683908291533,0.8333333333333334,0.4982445381138239,2.0,Medium
CUST0015,53,143148.0,617.0,0.708521767127297,0,0,2593.0,0.392539809079672,Unemployed,6,Standard,Chicago,Late,Missed,Late,Late,Late,Late,Upper Middle,Fair,High,High,Middle Age,0.0181141196523877,0.0,0.3811744849608331,0.0,Low
CUST0016,57,159356.0,601.0,0.396029321690249,0,0,1514.0,0.303178156816159,Self-employed,9,Gold,Houston,Missed,On-time,Late,Missed,Missed,Late,High,Fair,Moderate,Moderate,Middle Age,0.0095007404804337,0.0,0.2879836878084202,0.0,Low
CUST0017,41,146484.0,543.0,0.170183533213155,3,0,74039.0,0.472911476806953,Self-employed,9,Gold,New York,Late,Missed,On-time,Missed,Missed,Late,Upper Middle,Poor,Low,High,Adult,0.5054408672619535,0.5,0.4253192070504815,1.0,Low
CUST0018,20,183152.0,823.0,0.709147026508068,0,1,28018.0,0.307427924408284,Unemployed,19,Business,New York,On-time,On-time,Late,Late,On-time,Late,High,Excellent,High,Moderate,Young Adult,0.1529767624705162,0.0,0.2664164650018152,0.0,Low
CUST0019,39,81040.0,831.0,0.533824810019818,5,0,16034.0,0.409762496486116,Unemployed,17,Student,Chicago,Missed,On-time,On-time,Late,On-time,Missed,Middle,Excellent,High,High,Adult,0.197852912142152,0.8333333333333334,0.4528665235961805,2.0,Medium
CUST0020,70,181319.0,486.0,0.550314216966463,2,0,2420.0,0.303830058752242,retired,19,Student,Los Angeles,Late,Missed,Late,Late,Late,Missed,High,Poor,High,Moderate,Senior,0.0133466432089301,0.3333333333333333,0.462323947717555,1.0,Low
CUST0021,19,199402.0,783.0,0.661907854401181,4,0,43942.0,0.339388759481057,Self-employed,8,Standard,Houston,Late,Late,On-time,On-time,On-time,Late,High,Very Good,High,Moderate,Young Adult,0.2203689030200299,0.6666666666666666,0.4474453655917716,1.0,Low
CUST0022,41,40351.0,690.0,0.238004568343521,2,1,2200.0,0.291856121905722,Unemployed,14,Platinum,Chicago,Missed,Missed,On-time,On-time,Late,Missed,Low,Good,Low,Moderate,Adult,0.054521573195212,0.3333333333333333,0.2885257786229168,0.0,Low
CUST0023,61,154487.0,321.0,0.173699835723167,0,0,81757.0,0.309530135387393,Unemployed,3,Gold,New York,Late,On-time,On-time,On-time,Late,On-time,High,Poor,Low,Moderate,Senior,0.5292160505414695,0.0,0.3612620382321854,1.0,Low
CUST0024,47,108468.0,538.0,0.81619085898064,2,1,45776.0,0.317053186038799,retired,7,Gold,Phoenix,Late,Late,Late,On-time,Late,Late,Upper Middle,Poor,Critical,Moderate,Middle Age,0.4220230851495372,0.3333333333333333,0.5084625264063749,1.0,Low
CUST0025,55,41646.0,847.0,0.212566647851541,5,0,28018.0,0.23302681675116,retired,8,Standard,Los Angeles,On-time,Missed,Missed,Missed,Late,Late,Low,Excellent,Low,Moderate,Middle Age,0.6727656917831244,0.8333333333333334,0.3210953358476449,1.0,Low
CUST0026,19,193998.0,515.0,0.255552440584887,5,0,45776.0,0.259893133307691,EMP,12,Gold,Phoenix,Late,Missed,On-time,Late,Missed,On-time,High,Poor,Low,Moderate,Young Adult,0.235961195476242,0.8333333333333334,0.4894674540792051,1.0,Low
CUST0027,38,89740.0,789.0,0.295512924090846,0,0,89660.0,0.278324498351382,retired,8,Standard,Chicago,Missed,On-time,Missed,Missed,Missed,On-time,Middle,Very Good,Low,Moderate,Adult,0.9991085357700022,0.0,0.1711866283378297,0.0,Low
CUST0028,50,136790.0,525.0,0.915989184738104,3,0,43870.0,0.322971101680229,Employed,3,Business,New York,Missed,On-time,Late,Late,Missed,On-time,Upper Middle,Poor,Critical,Moderate,Middle Age,0.3207105782586446,0.5,0.582467344331856,1.0,Low
CUST0029,29,86726.0,588.0,0.598676660082304,2,0,45776.0,0.296942098049653,Self-employed,16,Student,Houston,Late,Late,Missed,On-time,Late,On-time,Middle,Fair,High,Moderate,Young Adult,0.5278232594608306,0.3333333333333333,0.4263289319572316,0.0,Low
CUST0030,39,88523.0,523.0,0.693081594887076,3,0,29561.0,0.41730325338257,EMP,15,Platinum,Phoenix,Late,On-time,On-time,On-time,Late,On-time,Middle,Poor,High,High,Adult,0.333935813291461,0.5,0.551232575703775,1.0,Low
CUST0031,61,72458.0,374.0,0.539233509115745,3,0,60530.0,0.384711831897964,Employed,14,Student,Houston,On-time,Missed,Late,Missed,On-time,Missed,Middle,Poor,High,High,Senior,0.8353804962875044,0.5,0.5723499716170637,1.0,Low
CUST0032,42,60106.0,385.0,0.379622557759753,1,0,46663.0,0.280367244397462,Unemployed,2,Student,New York,On-time,Late,Late,On-time,On-time,Missed,Middle,Poor,Moderate,Moderate,Adult,0.7763451236149469,0.1666666666666666,0.4180277535696067,1.0,Low
CUST0033,66,106362.0,806.0,0.626258256652033,0,1,11308.0,0.438178389745193,Unemployed,19,Business,Phoenix,Late,Late,Late,Late,Late,On-time,Upper Middle,Excellent,High,High,Senior,0.106316165547846,0.0,0.2861091615993065,1.0,Low
CUST0034,44,99076.0,440.0,0.188676805840639,4,0,99005.0,0.487302062357545,EMP,4,Gold,Houston,Missed,Late,Late,Missed,On-time,Missed,Middle,Poor,Low,High,Adult,0.9992833784165692,0.6666666666666666,0.5220250200798491,3.0,High
CUST0035,59,69693.0,316.0,0.280943309580701,5,1,60278.0,0.1,retired,4,Platinum,Houston,On-time,Missed,Late,Late,On-time,Late,Middle,Poor,Low,Low,Middle Age,0.864907522993701,0.8333333333333334,0.5462964334557814,2.0,Medium
CUST0036,45,137402.0,464.0,0.646595035852296,5,0,65119.0,0.393229008506627,Unemployed,19,Gold,Phoenix,Missed,Missed,Missed,On-time,On-time,On-time,Upper Middle,Poor,High,High,Adult,0.4739305104729189,0.8333333333333334,0.6437438898776096,2.0,Medium
